64.8520243419 NIRPS
64.8544757031 NIRPS
64.8569270638 NIRPS
65.8675403399 NIRPS
65.8705078890 NIRPS
65.8729592571 NIRPS
67.8259702688 NIRPS
67.8284216360 NIRPS
67.8308730009 NIRPS
70.8548144270 NIRPS
70.8572657942 NIRPS
70.8597171600 NIRPS
71.8525088080 NIRPS
71.8549601790 NIRPS
71.8574115490 NIRPS
105.8698896230 NIRPS
105.8723410009 NIRPS
105.8747923798 NIRPS
106.8733482161 NIRPS
106.8757995921 NIRPS
106.8782509691 NIRPS
107.8792648339 NIRPS
107.8822969850 NIRPS
107.8852645452 NIRPS
108.8841444780 NIRPS
108.8865958489 NIRPS
109.8737951019 NIRPS
109.8762464761 NIRPS
109.8786978521 NIRPS
112.7761436789 NIRPS
112.7785950541 NIRPS
112.7810464301 NIRPS
112.7834978048 NIRPS
112.7859491808 NIRPS
112.7884005550 NIRPS
113.8692826759 NIRPS
113.8717340478 NIRPS
113.8741854210 NIRPS
113.8766367929 NIRPS
113.8790881648 NIRPS
113.8815395362 NIRPS
114.8767883801 NIRPS
114.8792397482 NIRPS
114.8816911159 NIRPS
115.8598004961 NIRPS
115.8622518610 NIRPS
115.8647032292 NIRPS
136.8198442091 NIRPS
136.8222955409 NIRPS
137.6195045528 NIRPS
137.6219558879 NIRPS
138.8344201841 NIRPS
138.8373876889 NIRPS
139.7276201011 NIRPS
139.7300714292 NIRPS
139.7325227559 NIRPS
140.7457903922 NIRPS
140.7482417221 NIRPS
140.7506930521 NIRPS
141.8313577282 NIRPS
141.8338090498 NIRPS
142.8611813160 NIRPS
142.8636326380 NIRPS
143.8790056799 NIRPS
143.8814569991 NIRPS
144.8226393168 NIRPS
144.8250906351 NIRPS
145.8395681931 NIRPS
145.8420195049 NIRPS
146.7541766181 NIRPS
146.7566279322 NIRPS
147.6399518568 NIRPS
147.6424031709 NIRPS
148.7478325102 NIRPS
148.7502838182 NIRPS
149.8359763362 NIRPS
149.8389438181 NIRPS
150.7446493302 NIRPS
150.7476168051 NIRPS
151.6855876260 NIRPS
151.6880389322 NIRPS
152.8057947541 NIRPS
152.8082460510 NIRPS
153.8328383300 NIRPS
153.8352896222 NIRPS
163.6189153758 NIRPS
163.6213666392 NIRPS
164.5538838818 NIRPS
165.7808104991 NIRPS
165.7832617569 NIRPS
166.5730801141 NIRPS
166.5755313719 NIRPS
167.5754597038 NIRPS
167.5784271201 NIRPS
168.6091404161 NIRPS
168.6115916660 NIRPS
169.6656409190 NIRPS
169.6680921670 NIRPS
172.8041935209 NIRPS
172.8066447610 NIRPS
173.7420572960 NIRPS
173.7445085342 NIRPS
196.6212287159 NIRPS
196.6255507842 NIRPS
196.6280019530 NIRPS
197.6376066529 NIRPS
197.6400578180 NIRPS
198.6108328570 NIRPS
198.6132840230 NIRPS
200.7675090479 NIRPS
200.7699602051 NIRPS
201.7628508578 NIRPS
201.7653020122 NIRPS
203.7036411129 NIRPS
204.7683511330 NIRPS
204.7708022790 NIRPS
223.6505246549 NIRPS
223.6529757380 NIRPS
259.5351409558 NIRPS
259.5375919971 NIRPS
259.5400430360 NIRPS
64.8508970300 HARPS
64.8536171098 HARPS
64.8562793098 HARPS
65.8664699001 HARPS
65.8691552500 HARPS
65.8718521800 HARPS
67.8249855000 HARPS
67.8277055798 HARPS
67.8303909400 HARPS
70.8538625799 HARPS
70.8565479401 HARPS
70.8593027499 HARPS
71.8514630501 HARPS
71.8541484098 HARPS
